Churn,Age,Monthly_Charges,Support_Calls,Support_Ticket_Status,Tenure_Months
1,43.682814796882965,63.53718127899597,8,1,71
0,34.07126032170936,31.208872119074986,8,0,47
1,51.115706675062825,31.480920057924294,9,0,59
1,47.86765120085287,96.43287965168801,7,1,63
1,62.49707727531881,45.12836805240314,1,1,37
1,50.981527385024954,21.87689794630429,9,1,8
0,39.70103966593024,89.61621188405606,9,0,49
1,32.038414747684826,85.35300589209785,4,1,10
1,54.13437795158963,92.89305010830162,2,1,2
0,44.82402879052923,22.776196060323155,9,0,68
1,47.26003347243784,89.47758245885235,7,1,10
1,41.913690998680266,35.033430630444315,6,1,10
1,28.001269888350983,74.88192155692356,3,1,18
1,57.08240692403055,77.2281271046755,9,1,52
1,52.8297993016438,115.35101704113985,5,0,17
1,50.218784508221006,48.21642702478949,6,1,9
1,54.640291792310705,79.21666356055741,1,1,7
1,35.541931899751404,51.08019932737037,4,1,68
1,67.68879071653626,20.253796004271834,3,1,68
1,44.81351073449672,86.31140184915738,3,1,44
1,51.59767902711787,81.63619092229828,2,1,52
1,55.461710353895796,49.11763168958467,5,1,49
1,20.75140929740125,83.4466405257841,1,1,65
1,64.75378863338906,118.08205398929492,6,1,10
1,48.56232700968596,90.17802540554078,5,1,67
0,31.007545426900094,25.74981277785672,7,0,9
0,44.38642907562572,74.37783906752463,9,0,17
1,75.29750017480099,53.98953611662445,5,1,60
1,45.61150989061396,76.56052523606373,7,1,9
1,33.760415859352506,51.88036483743719,1,1,68
1,46.350985303768844,116.45231132362417,4,1,47
1,51.853723822460275,49.263033551091134,7,1,71
1,41.79634155828053,70.90809511457502,8,1,14
1,41.97067540748536,110.05135672573284,4,1,7
1,59.810755290153175,53.98554799996623,3,1,30
1,56.33703077106062,94.53078720716216,3,1,48
1,47.94126385702765,78.11608031726966,3,1,19
1,47.30956137986289,28.164245127886826,8,0,1
1,49.46353859201527,93.07092694427247,7,1,30
1,43.6661449771008,117.09990260537556,6,1,65
